ANNO,Sperimentatore,SITE,REPLICA,S,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,H1,D,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,H2,J2
2022,Vincenzo ,A,1,6,0,0,0,0,0,3,8,0,4,10,96,0,0,0,0,0,0,0,3,0,1.434838,0.4631896,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Vincenzo ,A,2,6,8,0,0,0,0,2,7,3,0,16,96,0,0,0,0,0,0,0,0,0,1.489912,0.4239282,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Vincenzo ,A,3,6,10,0,0,0,0,2,0,24,0,6,94,0,0,0,0,0,0,0,3,0,1.534757,0.3861158,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Vincenzo ,A,4,6,11,0,0,0,0,3,0,0,0,18,95,0,0,0,0,4,0,0,3,0,1.510471,0.4090485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Enrico,A,5,7,3,0,0,0,1,10,0,13.5,0,27,100,0,0,0,0,0,0,0,7,0,1.630193,0.3428417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Enrico,A,6,6,5,0,0,0,3,6,0,12,0,20,100,0,0,0,0,0,0,0,0,0,1.537749,0.3928441,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Enrico,A,7,4,2,0,0,0,0,2,0,0,0,5,100,0,0,0,0,0,0,0,0,0,1.111988,0.61422,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Simone,A,8,8,0,6,0,0,0,3,0,2,0,18,90,0,0,0,0,26,0,1,1,0,1.641017,0.3354015,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Simone,A,9,3,0,0,0,0,0,0,0,0,0,10,88,0,0,0,0,6,0,0,0,0,1.276033,0.5234723,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Sabrina,A,10,4,0,0,0,0,0,0,2,0,0,30,90,0,0,0,2,0,0,0,0,0,1.334164,0.4434732,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Sabrina ,A,11,5,0,0,0,0,5,0,0,20,0,20,40,0,10,0,0,0,0,0,0,0,1.986203,0.1998474,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Paolo,A,12,7,3,0,0,0,2,7,0,15.5,0,27,100,0,0,0,0,0,0,0,7,0,1.632129,0.3431469,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Paolo ,A,13,5,0,0,0,0,2,2,0,8,0,23,90,0,0,0,0,0,0,0,0,0,1.437919,0.4227011,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Paolo,A,14,6,0,0,0,4,0,8,0,34,0,15,95,0,0,0,0,0,0,0,8,0,1.657472,0.3181872,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Beatrice,A,15,5,0,0,0,0,0,1,0,0,22,3,82,0,0,0,0,1,0,0,0,0,1.393162,0.4437984,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Beatrice,A,16,6,0,0,0,0,0,4,0,0.5,13,4,80,0,0,0,0,0,0,0,4,0,1.504442,0.4302629,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Beatrice,A,17,8,3,0,0,0,4,2,0,8,0,10,100,0,0,0,0,0,2,0,2,0,1.469208,0.4561589,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Luigia,A,18,5,0,0,0,0,0,1,0,0,20,2,85,0,0,0,0,1,0,0,0,0,1.347586,0.46875,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Luigia,A,19,6,0,0,0,0,0,4,0,0.5,15,3,100,0,0,0,0,0,0,0,4,0,1.3506,0.487562,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Luigia,A,20,10,3,0,0,0,1,2,0,6,0,7,100,0,0,0,0,4,2,10,1,0,1.551667,0.4282878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Matilde,A,21,4,0,0,0,0,0,0,0,0,0,2,100,0,2,0,0,0,0,0,3,0,1.078329,0.6326709,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Matilde ,A,22,6,2,0,0,0,0,1,0,0,4,5,90,0,0,0,0,0.5,0,0,0,0,1.260549,0.5542118,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Samantha,A,23,7,0.5,0,1,0,0,3,4,0,4,8,90,0,0,0,0,0,0,0,0,0,1.393233,0.4921227,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Samantha,A,24,2,0,0,0,0,0,0,0,0,0,4,100,0,0,0,0,0,0,0,0,0,0.9962948,0.6635195,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Lisa,A,25,4,10,8,0,0,0,0,0,0,0,15,95,0,0,0,0,0,0,0,0,0,1.424978,0.4385917,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Lisa,A,26,7,4,8,0,0,6,0,0,7,2,4,90,0,0,0,0,0,0,0,0,0,1.54514,0.4258359,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Aurora ,A,27,7,0,0,0,0,0,4,1,6,15,20,95,0,0,2,0,0,0,0,0,0,1.579489,0.3730213,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022,Aurora ,A,28,7,2,3,0,0,0,20,0,0,20,0,70,32,0,0,0,0,3,0,0,0,1.839968,0.2400278,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
