anno,sito,S,H,D
2022,A,5.93333333333333,1.49018629333333,0.42349844
2022,B,4.83333333333333,1.8377021,0.282198526666667
2022,C,6.2,2.18221326666667,0.174001694333333
2023,A,4.36666666666667,1.90064233333333,0.28382171
2023,B,5.43333333333333,1.8212239,0.264462876666667
2023,C,4.36666666666667,1.85312653333333,0.275042216833333
2024,A,3.93333333333333,1.38579803333333,0.446583966666667
2024,B,4.2,1.44126863333333,0.427281863333333
2024,C,5.4,1.6590333,0.333074186666667
2025,A,4.4,1.47283576666667,0.447323630333333
2025,B,5.06666666666667,1.8415241,0.28659542
2025,C,4.9,1.58190853333333,0.355244163333333
2026,A,3.9,1.41708960333333,0.44657608
2026,B,4.6,1.59877386666667,0.36677748
2026,C,4.2,1.71166546666667,0.33812808
