Acetabularia acetabulum,Amphiroa rigida,Codium bursa,Corallina sp.,Corallinaceae,Dichtyota dicotoma,Flabellia petiolata,Halimeda tuna,Laurencia obtusa,Padina pavonica,Feltro algale,Aplysina aerophoba,Cliona sp.,Ircinia sp.,Arca noae,Gastrochaena dubia,Patella caerulea,Balanidae,Paracentrotus lividus
0,0,0,0,0,3,8,0,4,10,96,0,0,0,0,0,0,0,3
8,0,0,0,0,2,7,3,0,16,96,0,0,0,0,0,0,0,0
10,0,0,0,0,2,0,24,0,6,94,0,0,0,0,0,0,0,3
11,0,0,0,0,3,0,0,0,18,95,0,0,0,0,4,0,0,3
3,0,0,0,1,10,0,13.5,0,27,100,0,0,0,0,0,0,0,7
5,0,0,0,3,6,0,12,0,20,100,0,0,0,0,0,0,0,0
2,0,0,0,0,2,0,0,0,5,100,0,0,0,0,0,0,0,0
0,6,0,0,0,3,0,2,0,18,90,0,0,0,0,26,0,1,1
0,0,0,0,0,0,0,0,0,10,88,0,0,0,0,6,0,0,0
0,0,0,0,0,0,2,0,0,30,90,0,0,0,2,0,0,0,0
0,0,0,0,5,0,0,20,0,20,40,0,10,0,0,0,0,0,0
3,0,0,0,2,7,0,15.5,0,27,100,0,0,0,0,0,0,0,7
0,0,0,0,2,2,0,8,0,23,90,0,0,0,0,0,0,0,0
0,0,0,4,0,8,0,34,0,15,95,0,0,0,0,0,0,0,8
0,0,0,0,0,1,0,0,22,3,82,0,0,0,0,1,0,0,0
0,0,0,0,0,4,0,0.5,13,4,80,0,0,0,0,0,0,0,4
3,0,0,0,4,2,0,8,0,10,100,0,0,0,0,0,2,0,2
0,0,0,0,0,1,0,0,20,2,85,0,0,0,0,1,0,0,0
0,0,0,0,0,4,0,0.5,15,3,100,0,0,0,0,0,0,0,4
3,0,0,0,1,2,0,6,0,7,100,0,0,0,0,4,2,10,1
0,0,0,0,0,0,0,0,0,2,100,0,2,0,0,0,0,0,3
2,0,0,0,0,1,0,0,4,5,90,0,0,0,0,0.5,0,0,0
0.5,0,1,0,0,3,4,0,4,8,90,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,100,0,0,0,0,0,0,0,0
10,8,0,0,0,0,0,0,0,15,95,0,0,0,0,0,0,0,0
4,8,0,0,6,0,0,7,2,4,90,0,0,0,0,0,0,0,0
0,0,0,0,0,4,1,6,15,20,95,0,0,2,0,0,0,0,0
