ID,Anno,Num,Nome,Lat °N (WGS84),Lon °E (WGS84)
1,2021,1,casarza,42.12086,14.72151
2,2021,2,cungarelle,42.11593,14.72101
3,2021,3,bagnante,42.10999,14.71922
4,2020,1,casarza,42.12086,14.72151
5,2020,2,cungarelle,42.11593,14.72101
6,2020,3,bagnante,42.10999,14.71922
7,2022,Sito A,Uvala Lone,45.069,13.6335
8,2022,Sito B,Villas Rubin,45.0632,13.6592
9,2022,Sito C,Amarin,45.10476,13.615665
10,2023,Sito A,Villas Rubin,45.0632,13.6592
11,2023,Sito B,Amarin,45.10476,13.615665
12,2023,Sito C,Uvala Lone,45.069,13.6335
13,2024,Sito A,Uvala Lone a,45.069,13.6335
14,2024,Sito B,Uvala Lone b,45.069674,13.630432
15,2024,Sito C,Amarin,45.10476,13.615665
16,2025,Sito A,Uvala Lone A,45.069,13.6335
17,2025,Sito B,Villas Rubin,45.0632,13.6592
18,2025,Sito C,Amarin,45.10476,13.615665
19,2026,Sito A,Uvala Lone A,45.069,13.6335
20,2026,Sito B,Villas Rubin,45.0632,13.6592
21,2026,Sito C,Polari,45.056167,13.670778
