Sperimentatore,GRUPPO 1 ,SITE,REPLICA,Acetabularia acetabulum,Amphiroa rigida,Codium bursa,Corallina sp.,Corallinaceae,Dichtyota dicotoma,Flabellia petiolata,Halimeda tuna,Laurencia obtusa,Padina pavonica,Feltro algale,Aplysina aerophoba,Cliona sp.,Ircinia sp.,Arca noae,Gastrochaena dubia,Patella caerulea,Balanidae,Paracentrotus lividus,Roccia nuda,TOTALE %,,Cerithium vulgatum (n° individui),Conus sp. e Phorcus sp. (n° individui),Hexaplex trunculus (n° individui),Holothuria tubulosa (n° individui),Maja squinado (n° individui),Paguroidea (n° individui)
Vincenzo ,1,A,1,0,0,0,0,0,3,8,0,4,10,96,0,0,0,0,0,0,0,3,0,124,,48,0,0,0,0,0
Vincenzo ,1,A,2,8,0,0,0,0,2,7,3,0,16,96,0,0,0,0,0,0,0,0,0,132,,12,0,0,0,0,0
Vincenzo ,1,A,3,10,0,0,0,0,2,0,24,0,6,94,0,0,0,0,0,0,0,3,0,139,,45,0,1,0,0,0
Vincenzo ,1,A,4,11,0,0,0,0,3,0,0,0,18,95,0,0,0,0,4,0,0,3,0,134,,0,0,0,0,0,0
Enrico,1,A,5,3,0,0,0,1,10,0,13.5,0,27,100,0,0,0,0,0,0,0,7,0,161.5,,0,0,0,0,0,0
Enrico,1,A,6,5,0,0,0,3,6,0,12,0,20,100,0,0,0,0,0,0,0,0,0,146,,2,0,0,0,0,0
Enrico,1,A,7,2,0,0,0,0,2,0,0,0,5,100,0,0,0,0,0,0,0,0,0,109,,35,0,0,0,0,0
Simone,1,A,8,0,6,0,0,0,3,0,2,0,18,90,0,0,0,0,26,0,1,1,3,150,,12,0,0,0,0,0
Simone,1,A,9,0,0,0,0,0,0,0,0,0,10,88,0,0,0,0,6,0,0,0,10,114,,20,0,0,0,0,0
Sabrina,1,A,10,0,0,0,0,0,0,2,0,0,30,90,0,0,0,2,0,0,0,0,8,132,,20,0,0,0,0,0
Sabrina ,1,A,11,0,0,0,0,5,0,0,20,0,20,40,0,10,0,0,0,0,0,0,0,95,,8,0,0,0,0,0
Paolo,1,A,12,3,0,0,0,2,7,0,15.5,0,27,100,0,0,0,0,0,0,0,7,0,161.5,,0,0,0,0,0,5
Paolo ,1,A,13,0,0,0,0,2,2,0,8,0,23,90,0,0,0,0,0,0,0,0,10,135,,16,0,4,0,0,0
Paolo,1,A,14,0,0,0,4,0,8,0,34,0,15,95,0,0,0,0,0,0,0,8,5,169,,24,0,0,0,0,0
Beatrice,1,A,15,0,0,0,0,0,1,0,0,22,3,82,0,0,0,0,1,0,0,0,0,109,,0,0,4,0,0,0
Beatrice,1,A,16,0,0,0,0,0,4,0,0.5,13,4,80,0,0,0,0,0,0,0,4,0,105.5,,24,0,1,0,0,0
Beatrice,1,A,17,3,0,0,0,4,2,0,8,0,10,100,0,0,0,0,0,2,0,2,0,131,,44,12,0,0,0,0
Luigia,1,A,18,0,0,0,0,0,1,0,0,20,2,85,0,0,0,0,1,0,0,0,0,109,,16,0,1,0,0,0
Luigia,1,A,19,0,0,0,0,0,4,0,0.5,15,3,100,0,0,0,0,0,0,0,4,0,126.5,,20,0,3,0,0,0
Luigia,1,A,20,3,0,0,0,1,2,0,6,0,7,100,0,0,0,0,4,2,10,1,0,136,,0,0,0,0,0,0
Matilde,1,A,21,0,0,0,0,0,0,0,0,0,2,100,0,2,0,0,0,0,0,3,0,107,,16,0,0,0,0,0
Matilde ,1,A,22,2,0,0,0,0,1,0,0,4,5,90,0,0,0,0,0.5,0,0,0,5,107.5,,28,0,0,0,0,0
Samantha,1,A,23,0.5,0,1,0,0,3,4,0,4,8,90,0,0,0,0,0,0,0,0,6,116.5,,24,0,1,0,0,0
Samantha,1,A,24,0,0,0,0,0,0,0,0,0,4,100,0,0,0,0,0,0,0,0,2,106,,16,0,0,0,0,5
Lisa,1,A,25,10,8,0,0,0,0,0,0,0,15,95,0,0,0,0,0,0,0,0,0,128,,2,0,0,0,0,3
Lisa,1,A,26,4,8,0,0,6,0,0,7,2,4,90,0,0,0,0,0,0,0,0,0,121,,0,0,1,0,0,5
Aurora ,1,A,27,0,0,0,0,0,4,1,6,15,20,95,0,0,2,0,0,0,0,0,0,143,,12,0,0,0,0,0
Aurora ,1,A,28,2,3,0,0,0,20,0,0,20,0,70,32,0,0,0,0,3,0,0,0,150,,4,0,0,0,0,0
Eugenia,1,A,29,0,0,0,0,0,4,0,4,0,10,80,0,0,0,0,0,4,10,1,10,123,,0,0,0,0,0,0
Eugenia,1,A,30,3,0,0,10,20,0.5,0,1,0,30,20,0,0,0,0,0,0,0,3,70,157.5,,0,0,0,0,0,0
Althea,3,B,1,10,0,0,5,10,11,0,0,45,30,0,0,0,0,0,0,0,0,0,5,116,,0,0,0,0,0,0
Althea,3,B,2,2,0,0,0,0,31,0,0,40,10,0,0,0,0,0,0,0,0,0,40,123,,0,0,0,0,0,5
Althea,3,B,3,5,0,0,20,3,5,0,0,30,0,0,0,0,0,0,0,0,0,0,40,103,,0,0,0,0,0,0
Greta,3,B,4,10,0,0,0,0,3,0,0,40,8,0,0,0,0,0,0,0,0,0,40,101,,0,0,0,0,0,0
Greta,3,B,5,15,0,0,6,0,10,0,10,50,50,0,0,0,0,0,0,0,0,0,30,171,,0,4,0,0,0,5
Greta,3,B,6,0,0,0,0,20,10,0,10,40,15,0,0,0,0,0,0,0,0,0,50,145,,40,0,0,0,0,5
Marika,3,B,7,4,0,0,4,0,0,0,5,60,5,0,0,0,0,0,0,0,0,0,30,108,,0,0,0,0,0,5
Marika,3,B,8,0,0,0,0,20,7,0,10,70,0,0,0,0,0,0,0,0,0,0,30,137,,0,0,0,0,0,0
Marika,3,B,9,0,0,0,0,25,20,0,25,17,16,0,0,0,0,0,0,0,0,0,20,123,,4,0,0,0,0,0
Mattia,3,B,10,0,0,0,0,4,7,0,45,28,5,0,0,0,0,0,0,0,0,0,20,109,,0,0,0,0,0,0
Mattia,3,B,11,0,4,0,0,17,0,0,20,45,0,0,0,0,0,0,0,0,0,2,20,108,,0.8,0,0,0,0,0
Mattia,3,B,12,0,1,0,0,10,0,0,25,60,2.5,0,0,0,0,0,0,0,0,0,20,118.5,,0,4,0,0,0,0
Giuseppe,3,B,13,0,0,0,0,3,2,0,3,65,1.5,0,0,0,0,0,0,0,0,0,20,94.5,,0,0,0,0,0,0
Rebecca,3,B,14,4,0,0,0,0,1.5,0,0,62,21,0,0,0,0,0,0,0,0,0,20,108.5,,28,0,0,0,0,0
Rebecca ,3,B,15,0,0,0,0,51,7,0,50,60,17,0,0,0,0,0,0,0,0,0,2,187,,20,0,0,0,0,0
Rebecca,3,B,16,3,1,0,0,0,0,0,11,40,10,0,0,0,0,0,0,0,0,1,43,109,,0,0,0,0,0,0
Julia,3,B,17,0,0,0,0,0,2.5,0,34,12,3,4,0,0,0,0,0,0,0,0,60,115.5,,12,0,3,0,0,0
Julia,3,B,18,0,0,0,0,0,0,0,30,50,2,0,0,0,0,0,0,0,0,0,48,130,,4,0,1,0,0,0
Alberto,3,B,19,1,0,0,0,0,1,0,0,55,5,0,0,0,0,0,0,0,0,0,38,100,,0,0,0,0,0,0
Alberto,3,B,20,0,0,0,25,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,55,98,,0,0,0,0,0,10
Alberto,3,B,21,2,0,0,0,0,0,0,0,70,0,5,0,0,0,0,0,0,0,0,23,100,,0,0,0,0,0,0
Mattia B,3,B,22,8,0,0,12,0,1,0,0,15,8,5,0,0,0,0,0,0,0,0,51,100,,0,0,0,0,0,0
Mattia B,3,B,23,10,0,0,10,15,0,0,15,19,0,3,0,0,0,0,0,0,0,0,28,100,,0,0,0,0,0,0
Mattia B,3,B,24,0,0,0,6,2,3,0,2,40,3,0,0,0,0,0,0,0,0,0,44,100,,0,0,0,0,0,0
